GeneId1,GeneId2,Corr
COL3A1 | 232458_at,CTHRC1 | 225681_at,0.927901966319344
PPM1K | 235061_at,AFF3 | 227198_at,0.877251939782084
PPM1K | 235061_at,ANKRD44 | 226641_at,0.853567278289842
BCL11B | 222895_s_at,IL7R | 226218_at,0.916523314164332
MGST1 | 231736_x_at,MGST1 | 224918_x_at,0.994218402794226
SLFN5 | 226725_at,IL7R | 226218_at,0.866570181520981
PREX1 | 224909_s_at,PREX1 | 224925_at,0.91268322541118
KLRG2 | 231195_at,KIAA1324 | 243349_at,0.87442976394422
LOC102724362 | 238742_x_at,EHF | 225645_at,0.929233416456259
LOC102724362 | 238742_x_at,GLIPR1 | 226142_at,-0.884031009201325
LOC102724362 | 238742_x_at,EPS8L2 | 222546_s_at,0.859741522461287
LOC102724362 | 238742_x_at,EHF | 232361_s_at,0.882189483838847
LOC102724362 | 238742_x_at,ESRP1 | 225846_at,0.922746584770358
LOC102724362 | 238742_x_at,LOC100505984///ITGB6 | 226535_at,0.899386469669174
LMBRD2 | 236138_at,FGF9 | 239178_at,0.861299227297685
MGAT4A | 231283_at,MGAT4A | 226039_at,0.855899896444559
244039_x_at | 244039_x_at,IL31RA | 243541_at,0.861994475999793
ELF3 | 229842_at,EHF | 225645_at,0.867263801594042
ELF3 | 229842_at,LOC100505984///ITGB6 | 226535_at,0.890428423438567
ELF3 | 229842_at,LOC102724362 | 238742_x_at,0.886617493731949
PTPN22 | 236539_at,ANKRD44 | 226641_at,0.868843781199218
RASD1 | 223467_at,C11orf96 | 227099_s_at,0.850785773974425
SMIM22 | 229599_at,KIAA1324 | 243349_at,0.874391044094253
EMB | 239072_at,EHF | 225645_at,-0.854713815758439
EMB | 239072_at,TLR4 | 232068_s_at,0.919470988859386
EMB | 239072_at,ESRP1 | 225846_at,-0.88299662200708
EMB | 239072_at,LOC100505984///ITGB6 | 226535_at,-0.883884383739051
EMB | 239072_at,LOC102724362 | 238742_x_at,-0.889136402511483
EMB | 239072_at,ELF3 | 229842_at,-0.89949136374935
VSTM2L | 226973_at,WBSCR17 | 227434_at,0.853625299554603
TBX18 | 242107_x_at,244039_x_at | 244039_x_at,0.855849565929608
CNRIP1 | 226751_at,MIR100HG | 225381_at,0.852932522905225
CNRIP1 | 226751_at,EDIL3 | 225275_at,0.89502712093944
ERAP2 | 235104_at,ERAP2 | 227462_at,0.929065288433091
ERAP2 | 235104_at,PTPN22 | 236539_at,0.858365807753749
234260_at | 234260_at,UBASH3B | 238462_at,0.851405802599538
234260_at | 234260_at,PTPN22 | 236539_at,0.876280301880341
SNORA11E///SNORA11D///MAGED4///MAGED4B | 223313_s_at,ADAMTS1 | 222486_s_at,0.874874486208178
AFFX-r2-Hs28SrRNA-3_at | AFFX-r2-Hs28SrRNA-3_at,AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,0.882503699854066
AFFX-r2-Hs28SrRNA-3_at | AFFX-r2-Hs28SrRNA-3_at,AFFX-HUMRGE/M10098_M_at | AFFX-HUMRGE/M10098_M_at,0.884128280595845
DLC1 | 224822_at,MIR100HG | 225381_at,0.862423653092997
DLC1 | 224822_at,232113_at | 232113_at,0.857147627745568
DLC1 | 224822_at,NFIX | 227400_at,0.89337486427643
DLC1 | 224822_at,EDIL3 | 225275_at,0.880175224670254
DLC1 | 224822_at,CNRIP1 | 226751_at,0.858175958164092
244283_x_at | 244283_x_at,LIPJ | 238634_x_at,0.858955194783347
SGCB | 226112_at,CACNA2D1 | 227623_at,0.872512101218902
LINC01578 | 226830_x_at,LMBRD2 | 236138_at,0.864816610664486
HID1 | 244593_at,KIAA1324 | 243349_at,0.910668579871354
HID1 | 244593_at,PPM1K | 235061_at,-0.856674813226177
HID1 | 244593_at,SMIM22 | 229599_at,0.871763244412622
TMEFF2 | 223557_s_at,DSEL | 232235_at,0.867130897697899
TMEFF2 | 223557_s_at,SALL1 | 229273_at,0.892308895164614
TMEFF2 | 223557_s_at,DNER | 226281_at,0.886890032464913
DCDC5///DCDC1 | 232603_at,243885_x_at | 243885_x_at,0.855471724701127
242529_x_at | 242529_x_at,IL31RA | 243541_at,0.85507902904082
242529_x_at | 242529_x_at,244039_x_at | 244039_x_at,0.86631192655395
ZNF439 | 236562_at,AFF3 | 227198_at,0.867709262759217
ZNF439 | 236562_at,KIAA1324 | 243349_at,-0.851811618682072
ZNF439 | 236562_at,PPM1K | 235061_at,0.906968014986919
ZNF439 | 236562_at,234260_at | 234260_at,0.873344452644687
ZNF439 | 236562_at,HID1 | 244593_at,-0.870247713422553
PCDH10 | 228635_at,SALL1 | 229273_at,0.853584214335132
PCDH10 | 228635_at,TMEFF2 | 223557_s_at,0.855437117777763
ATP11C | 226785_at,FAM126A | 227239_at,0.894089766019202
ESPN | 223549_s_at,GLIPR1 | 226142_at,-0.856106864440832
ESPN | 223549_s_at,ERAP2 | 235104_at,-0.857093155688896
CCDC169-SOHLH2///CCDC169 | 233297_s_at,ZNF883 | 230876_at,0.864618059263481
234489_at | 234489_at,237648_x_at | 237648_x_at,0.850690844160117
GGT6 | 236225_at,SMIM22 | 229599_at,0.906025073099009
FAM213A | 228155_at,ERBB3 | 226213_at,0.851382235439155
GPR82 | 244434_at,FGF9 | 239178_at,0.85403948032823
GPR82 | 244434_at,COX7B | 239252_at,0.868348498979697
ZNF271P | 236231_at,COX7B | 239252_at,0.881773141475012
ZNF271P | 236231_at,LINC01578 | 226830_x_at,0.851002415473167
MRPL42 | 242289_at,PPM1K | 235061_at,0.858655980636149
MRPL42 | 242289_at,SMIM22 | 229599_at,-0.867283498126403
PWAR6 | 226591_at,SMIM22 | 229599_at,-0.908971025514024
PWAR6 | 226591_at,242529_x_at | 242529_x_at,0.87725911098236
CCDC80 | 225241_at,ADAMTS2 | 226311_at,0.864138620556725
CCDC80 | 225241_at,ADAMTS12 | 226997_at,0.858052958381615
NUDT14 | 231914_at,NFIX | 227400_at,0.915163583070619
NUDT14 | 231914_at,NPNT | 225911_at,0.873213525581122
NUDT14 | 231914_at,TCEA2 | 241428_x_at,0.869504000616872
GAREM1 | 235065_at,ARFGEF3 | 231856_at,0.890178598738859
ZNF488 | 229901_at,BEND7 | 227341_at,0.864474543723044
ZNF488 | 229901_at,NFIX | 227400_at,0.895369084603971
ZNF488 | 229901_at,CNRIP1 | 226751_at,0.88042902689631
ZNF488 | 229901_at,DLC1 | 224822_at,0.861840405567312
