GeneId1,GeneId2,Corr
TBC1D1 | 227945_at,TNRC6B | 229036_at,0.861998078564276
TBC1D1 | 227945_at,SLC2A13 | 227176_at,-0.863081268429036
C2orf40 | 223623_at,PIRT | 232887_at,0.885998724748912
CFAP221 | 231043_at,SNORA60///SNORA71E///SNHG11 | 226149_at,0.85177571404855
CFAP221 | 231043_at,KCNJ6 | 232411_at,-0.891310654037656
CFAP221 | 231043_at,LINC01105 | 236739_at,-0.866063956578677
CFAP221 | 231043_at,234640_x_at | 234640_x_at,0.863872884109203
CFAP221 | 231043_at,NAV2 | 222598_s_at,0.928872958531695
BEND4 | 230896_at,MYH14 | 234290_x_at,-0.877338090038605
TEAD1 | 224955_at,229670_at | 229670_at,-0.877028479815479
TEAD1 | 224955_at,SRGAP1 | 227484_at,0.875603893734777
PARVG | 233510_s_at,GPSM2 | 230002_at,-0.881469850195846
PARVG | 233510_s_at,SRGAP1 | 227484_at,-0.85181691434525
PARVG | 233510_s_at,SYK | 226068_at,0.854858661608887
TOR1AIP2 | 230321_at,LINC00261 | 228004_at,0.850214918183595
YAP1 | 224895_at,229670_at | 229670_at,-0.876410420462131
YAP1 | 224895_at,ABHD17C | 225436_at,0.879566530757118
YAP1 | 224895_at,TEAD1 | 224955_at,0.944184723230859
RFX4 | 223673_at,MIR21///VMP1 | 224917_at,-0.869112039515216
OPALIN | 239575_at,CAB39L | 225915_at,0.853817238493868
OPALIN | 239575_at,228742_at | 228742_at,0.869371797119032
OPALIN | 239575_at,MASP1 | 232224_at,0.866892583857307
ACTR3 | 228603_at,229670_at | 229670_at,0.896692648681262
TRAPPC6B | 225537_at,ATP6V1C1 | 226463_at,0.882250097170045
LOC105374366 | 229189_s_at,GATSL3 | 226613_at,0.857285026659133
LOC105374366 | 229189_s_at,TMEM120A | 223482_at,0.87235290492905
LOC105374366 | 229189_s_at,PXYLP1 | 226925_at,0.860760351844049
LOC105374366 | 229189_s_at,RNF24 | 226542_at,0.863076313852646
LOC105374366 | 229189_s_at,GALNT16 | 230418_s_at,0.865034329771412
IGDCC4 | 227870_at,TNRC6B | 229036_at,-0.853195960880101
CDS1 | 226185_at,RAB27B | 228708_at,0.868941015942708
CDS1 | 226185_at,MYH14 | 234290_x_at,0.861040507861916
CDS1 | 226185_at,ABHD17C | 225436_at,0.88147495688321
CDS1 | 226185_at,UNC5A | 236448_at,0.865426116392423
CDS1 | 226185_at,TEAD1 | 224955_at,0.859078033877873
CDS1 | 226185_at,YAP1 | 224895_at,0.853554435468503
EGFR | 224999_at,TEAD1 | 224955_at,0.856231142157825
EGFR | 224999_at,YAP1 | 224895_at,0.862803160534449
CTXN3 | 231391_at,KCNJ6 | 232411_at,0.871793836307807
CTXN3 | 231391_at,CFAP221 | 231043_at,-0.869604412881389
PARM1 | 225809_at,CDC34 | 241927_x_at,0.851987207504626
GIMAP6 | 229367_s_at,FYB | 227266_s_at,0.910539873666724
GIMAP6 | 229367_s_at,C10orf54 | 225372_at,0.878609615163294
TNFSF13B | 223501_at,TNFSF13B | 223502_s_at,0.888371129261699
IL1RL1 | 234066_at,MYH14 | 234290_x_at,0.893164918002909
IL1RL1 | 234066_at,IL1RL1 | 242809_at,0.884668322192856
IL1RL1 | 234066_at,HOGA1 | 239093_at,0.852132688107152
IL1RL1 | 234066_at,BACE1 | 224335_s_at,0.866069187494839
IL1RL1 | 234066_at,241215_at | 241215_at,0.872099749743367
WHSC1L1 | 222544_s_at,MPHOSPH8 | 225041_at,0.870582328820035
C2orf82 | 230244_at,TIMM23B | 229428_at,-0.856015020845272
AFFX-HUMRGE/M10098_M_at | AFFX-HUMRGE/M10098_M_at,AFFX-r2-Hs28SrRNA-3_at | AFFX-r2-Hs28SrRNA-3_at,0.884128280595845
AFFX-HUMRGE/M10098_M_at | AFFX-HUMRGE/M10098_M_at,AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,0.898742206398577
232615_at | 232615_at,LOC727820 | 227384_s_at,0.932606916912703
CREBRF | 225956_at,ZFP90 | 235698_at,0.868197916665902
SLC14A1 | 229151_at,MIR21///VMP1 | 224917_at,-0.869642243365844
SLC14A1 | 229151_at,RFX4 | 223673_at,0.855495007140202
RCSD1 | 225763_at,229670_at | 229670_at,0.872362593444987
